department,course_number,semester,year
CSI,500,Fall,2024
CSI,503,Fall,2024
CSI,504,Fall,2024
CSI,508,Fall,2024
CSI,509,Fall,2024
CSI,516,Fall,2024
CSI,518,Fall,2024
CSI,521,Fall,2024
CSI,522,Fall,2024
CSI,526,Fall,2024
CSI,529,Fall,2024
CSI,535,Fall,2024
CSI,536,Fall,2024
CSI,551,Fall,2024
CSI,553,Fall,2024
CSI,609,Fall,2024
CSI,668,Fall,2024
CSI,671,Fall,2024
CSI,680,Fall,2024
CSI,694,Fall,2024
CSI,697,Fall,2024
CSI,698,Fall,2024
CSI,699,Fall,2024
CSI,890,Fall,2024
CSI,899,Fall,2024
CSI,503,Spring,2025
CSI,508,Spring,2025
CSI,509,Spring,2025
CSI,518,Spring,2025
CSI,521,Spring,2025
CSI,526,Spring,2025
CSI,531,Spring,2025
CSI,532,Spring,2025
CSI,534,Spring,2025
CSI,535,Spring,2025
CSI,536,Spring,2025
CSI,552,Spring,2025
CSI,561,Spring,2025
CSI,571,Spring,2025
CSI,609,Spring,2025
CSI,668,Spring,2025
CSI,680,Spring,2025
CSI,694,Spring,2025
CSI,697,Spring,2025
CSI,698,Spring,2025
CSI,699,Spring,2025
CSI,890,Spring,2025
CSI,899,Spring,2025
ECE,502,Fall,2024
ECE,511,Fall,2024
ECE,516,Fall,2024
ECE,520,Fall,2024
ECE,532,Fall,2024
ECE,553,Fall,2024
ECE,564,Fall,2024
ECE,566,Fall,2024
ECE,571,Fall,2024
ECE,572,Fall,2024
ECE,581,Fall,2024
ECE,629,Fall,2024
ECE,659,Fall,2024
ECE,664,Fall,2024
ECE,679,Fall,2024
ECE,695,Fall,2024
ECE,697,Fall,2024
ECE,699,Fall,2024
ECE,890,Fall,2024
ECE,899,Fall,2024
ECE,501,Spring,2025
ECE,513,Spring,2025
ECE,521,Spring,2025
ECE,522,Spring,2025
ECE,531,Spring,2025
ECE,551,Spring,2025
ECE,560,Spring,2025
ECE,562,Spring,2025
ECE,565,Spring,2025
ECE,574,Spring,2025
ECE,629,Spring,2025
ECE,659,Spring,2025
ECE,679,Spring,2025
ECE,695,Spring,2025
ECE,697,Spring,2025
ECE,699,Spring,2025
ECE,890,Spring,2025
ECE,899,Spring,2025
