department,number,ddd,title,credits,description,prereq1,prereq2,csi_concentration,isConcentrationCore,ece_concentration
CSI,500,CSI,Operating Systems (3),3,"Introduction to operating systems. Topics include processes, concurrency, synchronization, deadlock, memory management, segmentation, paging, replacement policies, caching, interprocess communication, file systems, and protection. Heavy emphasis on abstractions, mechanisms, policies, and design. ",,,Systems,Core,Control and Computer Systems
CSI,501,CSI,"Computational Linear Algebra, Nonlinear Algebra, and Optimization(3)",3,"Review of numerical nonlinear algebra for one equation in one unknown. Numerical methods for solving systems of nonlinear equations including Quasi-Newton methods and descent techniques. Numerical solution of systems of linear equations including Gaussian elimination, LUD factorization, and iterative methods. Methods for banded and sparse systems. Approximation by splines. ",,,,,
CSI,502,CSI,Computer Graphics (3),3,"An introduction to interactive computer graphics including device characteristics, display processors, and file structure. Graphical transformations and transformation systems including perspective transformations and hidden line and surface algorithms are discussed. Selected topics from graphical data structures, graphics systems, video graphics, and microprocessor graphics.",CSI401,,,,
CSI,503,CSI,Algorithms and Data Structures (3),3,"Review of discrete mathematics and probability used in algorithm design and analysis. Analyses of divide-and-conquer algorithms, number-theoretical algorithms, and algorithms for sorting, searching, and order statistics. Basic data structures. Basic graph algorithms for topological sorting, constructing minimum cost spanning trees, and shortest path problems. ",CSI521,,Core,,Control and Computer Systems
CSI,504,CSI,(Ece 532) Advanced Computer Architecture (3),3,"The organization of the hardware components of computing systems. Logic design theory review. Comparative survey of instruction set architectures. Design, control, communication, and interconnection strategies for major components such as arithmetic-logic units, control units, CPUs, memories, and I/O systems. Prediction and measurement of performance. Introduction to VLSI, parallel processing, and other current architectural trends. Only one of Csi 504 and Ece 532 may be taken for credit. ",,,Systems,,
CSI,508,CSI,Database Systems I (3),3,"Basic concepts of a database system, with emphasis on database schema design, data manipulation languages, and query languages. Data models. Relational databases, functional dependencies, normal forms. Relational calculus, relational algebra, SEQUEL, Query-by-Example. The CODASYL network model: data definition and data manipulation languages. Computer project using a database system. User viewpoint of concurrent access. ",CSI521,,Systems,Core,
CSI,509,CSI,Automata and Formal Languages (3),3,"Introduction to the theory of computation. Models of computation including finite automata, push-down automata. Turing machines are examined along with their formal language counterparts such as regular, context-free and phrase-structured languages. Key results such as pumping lemmas and proofs of undecidability are covered. Additional topics may include computational complexity and applications to Computer Science. ",CSI521,,,,
CSI,511,CSI,Programming Languages and Systems Concepts (3),3,"Principles of program design, documentation, and software engineering. Assembly language, machine design, and the fetch-execute cycle at all levels of hardware and software. Introduction to software development, compiler design, operating systems design, and program verification.",,,,,
CSI,516,CSI,(Ece 516) Computer Communications Networks (3),3,"This course covers fundamentals in computer communication networks and the principles of distributed systems that leverage these networks. The course will focus on key Internet application architectures, principles and protocols, covering reliable data transfer and transport protocols; routing and forwarding; data link layer communications and principles of shared media access. Students will also be introduced to various physical layer techniques like error correction and bandwidth efficiency; content delivery networks; and software-defined networks. The students will apply their understanding of networking fundamentals while working on hands-on programming assignments, packet trace analysis and Internet measurements. ",,,Systems,Core,Control and Computer Systems
CSI,517,CSI,Compiler Design I (3),3,"Lexical analysis. Finite-state machines, pushdown machines, and context- free grammars. Top-down and bottom-up parsing. Syntax-directed translation. ",CSI521,,,,
CSI,518,CSI,Software Engineering (4),4,"Software engineering principles, the role of abstraction in programming, abstract data types, modularization and module interfaces, specifications, and teamwork. Concurrent programming models, synchronization and interprocess communication. Project work in contemporary concurrent and object-oriented languages. ",,,Core,,
CSI,519,CSI,Advanced Programming Concepts (3),3,"The main focus of the course is on declarative programming and axiomatic semantics.  In declarative programming we cover the Functional Programming (FP) and the Logic Programming (LP) paradigms.  The emphasis in functional programming will be on programming with higher-order functions, and polymorphism as in the programing language ML.  In Logic Programming we cover unification, SLD-resolution and backtracking, as in Prolog.  Also covered are Floyd-Hoare axiomatic semantics, and verification of programs. ",,,Theoretical Computer Science,Core,
CSI,520,CSI,Topics in Distributed and Parallel Computing (3),3,Selected areas relating to multiple processor systems will be examined. The models treated include various communication mechanisms and synchronous and asynchronous operation. ,,,,,
CSI,521,CSI,Discrete Mathematics with Applications (3),3,"Deep coverage of the content of discrete mathematics at the graduate level. Proofs by induction, recursive definitions, and combinatorial analysis. Introduction to recurrence equations, graph theory, and abstract algebra. Applications to proofs, correctness, and analysis of combinatorial and algebraic algorithms. ",,,Theoretical Computer Science,,
CSI,522,CSI,(Ece 520) Intro to VLSI (3),3,"An introduction to Very Large Scale Integrated (VLSI) circuit design. The device, circuit, and system aspects of VLSI design are covered in an integrated fashion. Emphasis is placed on NMOS, PMOS and CMOS technology. Using transistors, simple gates such as XOR, AND, OR, AOI, OAI, and flip flops, are constructed and simulated using industry standard layout and simulation tools. Students who have received credit for IECE420 cannot receive credit for this course. Recommended prerequisites: Either Ece 231 and Ece 300 or Csi 404 and Phy 415, or equivalent.",,,,,
CSI,523,CSI,Computational Geometry (3),3,"Efficient algorithms for geometric problems. Paradigms of divide and conquer, space sweep, locus computation, prune and search, transformation, and random sampling. Problems such as finding convex hulls, line intersections, Voronoi diagrams, and nearest neighbors are studied together with selections from research literature. Lower bound proofs, examples of parallel algorithms, and some implementation issues. ",CSI503,CSI521,,,
CSI,524,CSI,Computer Security (3),3,"This course introduces students to the fundamental and technical problems surrounding computer security. The course reviews basic security concepts, design principles, and mechanisms. Throughout the course and based on hands-on exercises, students will develop an in-depth understanding of several vulnerabilities and corresponding countermeasures in system security, web security, and network security areas. Topics include privilege escalation, buffer overflow, race condition, SQL injection, cross-site scripting, packet spoofing, TCP attacks, and firewalls. ",CSI521,,Systems,,
CSI,525,CSI,Mobile Wireless Networks (3),3,"This course will focus on the state of the art of mobile wireless networks. We will begin with fundamentals in wireless network architectures, protocols and operations. We will learn how are wireless links different than wired and what challenges does this pose to network design and integration. We will study the architecture and operations of networks you use on a daily basis including Wi-Fi 802.11 and mobile cellular networks. We will then transition to our advanced topics by identifying and surveying pitfalls that shape the wireless capacity crunch. We will cover the state of the art of novel technologies for increased network capacity that have the potential to accommodate the multi-zettabytes traffic projections. The students will gain basic practical skills in mobile computing while working on homework assignments. They will also have the opportunity to learn new techniques and concepts while working on an original research project with the end goal of producing real publishable results. In addition, the students will gain experience in efficient reading and understanding of technical papers, and giving public technical presentations. ",CSI516,,Systems,,
CSI,526,CSI,Cryptography (3),3,"The making of ciphers to encode information is the subject of cryptography. This course covers the field from its origins in early historic times through its most up-to-date implementations and uses in digital computers. Various ciphers will be shown and their security assessed. This latter is known as cryptoanalysis - the attempt to break cipher in order to read the underlying message. The course will emphasize how cryptography and cryptoanalysis are intimately related, and how the arms race between the two has motivated progress throughout their history. ",CSI521,,Theoretical Computer Science,,Control and Computer Systems
CSI,529,CSI,Probability and Computing (3),3,"An introduction to applications of probability and analysis in computer science and related areas. This course serves as a mathematical foundation for machine learning theory. Topics include an introduction to axiomatic probability, notions of convergence, limit theorems, first and second moment methods, martingales, concentration of measure (Chernoff, Hoeffding, McDiarmid, etc.), randomized algorithms (drawing largely from graph analysis, cryptography & number theory,  hashing,  numerical linear algebra),  sampling,  random graphs, Markov chains, random walks on graphs, basics of estimation theory, statistical learning theory, and  information  theory  for  statistical  sample  complexity  bounds. Applications to algorithm design and statistical learning on discrete random structures will be emphasized. ",CSI503,,Theoretical Computer Science,Core,
CSI,531,CSI,Data Mining (3),3,"A course on data mining (finding patterns in data) algorithms and their application to interesting data types and situations.  We cover the basic algorithms that address the five core data mining tasks: prediction, classification, estimation, clustering and associations.  Course projects will involve advanced topics such as algorithm developments for handling large data sets, sequential, spatial and streaming data.  ",CSI521,,Artificial Intelligence and Machine Learning,Core,
CSI,532,CSI,Network Science (3),3,"Social networks have become important tools for analyzing a wide array of human behavior and interactions. This course will consider networks arising in many different contexts (e.g. worldwide web, viral marketing, sociology, and epidemiology) and present techniques for analyzing such networks. The goal is to investigate the topology and dynamics of such networks, aiming to better understand the behavior, function, and properties of the underlying systems, as well as to understand how network structure influences its behavior. The course will cover the necessary background material in graph theory. The course will particularly emphasize on students ability to develop critical analytical skills through hands-on exercises of actual networking data analysis tasks. ",,,,,
CSI,533,CSI,Theory and Practice of Multimedia Computing (3),3,"This course lays the foundation for students to conduct research in the area of multimedia computing applications. Multimedia computing involves automated processing and analysis of multiple types of data such as text, images, and videos and audio, in a way that whole is greater than the sum of its parts. The course covers state-of-the-art computational techniques and algorithms for multimedia content processing, compression, networking, fusion, summarization, search and retrieval applicable to different areas such as social media, homeland surveillance and cyber security and privacy. The objective of this course is to prepare students to i) understand the theoretical foundation of multimedia computing, and ii) apply computational tools such as Matlab and Intel OpenCV to the processing and analysis of multimedia data. ",,,Artificial Intelligence and Machine Learning,,
CSI,534,CSI,(Ece 531) Reconfigurable Computing (3),3,"This course provides a study of FPGA architecture with detailed discussion on opportunities and challenges in this flexible platform. Topics include device architecture, programming languages and models for FPGAs including streaming and I/O, Mapping, Placement and Routing in reconfigurable logic, application design, development, verification and application specific optimization techniques. ",CSI404,,,,
